ID;Date;ABSTICH m;WASSERTEMPERATUR °C;ELEKTR. LEITF. (bei 25°C) µS/cm;PH-WERT;SAUERSTOFFGEHALT mg/l;GESAMTHAERTE °dH;KARBONATHAERTE °dH;CALCIUM mg/l;MAGNESIUM mg/l;NATRIUM mg/l;KALIUM mg/l;EISEN mg/l;MANGAN mg/l;CADMIUM mg/l;QUECKSILBER mg/l;ZINK mg/l;KUPFER mg/l;ALUMINIUM mg/l;BLEI mg/l;CHROM-GESAMT (filtriert) mg/l;NICKEL mg/l;ARSEN mg/l;BOR mg/l;AMMONIUM mg/l;NITRIT mg/l;NITRAT mg/l;CHLORID mg/l;SULFAT mg/l;HYDROGENK. mg/l;ORTHOPHOSPHAT mg/l;DOC mg/l;AOX µg/l;Dimethachlor Metabolit µg/l
PG31000292;18.10.1994;;10,3;820;7,2;6,2;18,1;14,7;94;21,6;17,4;31,8;0,01;0,022;0,0001;0,0001;0,01;;0,005;0,0005;0,0005;;0,0005;0,048;0,005;0,0025;49,7;36,3;52,1;320,3;0,413;3;11,28;
PG31000292;07.02.1995;;7,8;838;6,9;2,8;20,1;16,5;106,4;22,8;18,3;37,9;0;0;0,0001;0,0001;0,02;;0,005;0,0005;0,0005;;0,0005;0,047;0,017;0,0025;49,1;37,4;58,8;359,6;0,78;2,7;12,72;
PG31000292;06.04.1995;;8,8;822;7;5,9;19,7;15,1;103,7;22,6;17,6;34,3;0;0,022;0,0001;0,0001;0,08;;0,005;0,0005;0,003;;0,0005;0,053;0,037;0,0025;53,4;36,7;60,9;329,1;0,9;2,4;17,13;
PG31000292;29.06.1995;;11,4;813;7;2,7;20,3;15,4;106,8;23,1;18,1;34,3;0,01;0,088;0,0001;0,0001;0,02;;0,005;0,0005;0,0005;;0,0005;0,04;0,032;0,082;51,7;35,9;62;335,6;0,875;2,8;15,73;
PG31000292;21.09.1995;4,34;12,7;807;7;6,8;18,3;14,8;96,2;21,1;16,2;29;0;0,033;0,0001;0,0001;0,03;;0,005;0,0005;0,0005;;0,0005;0,077;0,045;0,102;50;36,1;56,5;322,5;0,893;2,1;;
PG31000292;11.01.1996;3,78;8,5;857;7,4;6,6;19,1;16,1;102,3;20,7;17,7;34,2;0,01;0,04;0,0001;0,0001;0,01;;0,005;0,001;0,001;;0,0005;0,01;0,005;0;49,7;34,6;61,4;350,8;0,917;3,4;;
PG31000292;27.06.1996;;13;680;7;6;20,3;13,5;109,9;21,5;18,4;40,9;0,102;0,041;0,0001;0,0001;0,02;;0,005;0,0005;0,0005;;0,001;0,05;0,016;0,02;60,7;40,7;90,6;294,2;0,974;4,5;;
PG31000292;22.08.1996;;13,9;877;7;5,52;20,1;;108;21,7;18,5;38;0,01;0,05;;;;;;;;;;0,019;0,022;0,0162;68,7;41,1;77,9;;0,752;3,3;;
PG31000292;14.11.1996;;10;892;7;5,7;19,7;14,8;106;21,5;18,8;44,2;0,08;0,06;;;;;;;;;;0,014;0,015;0,0031;63,9;38,3;72,7;321;0,669;0,56;;
PG31000292;20.02.1997;3,42;6,2;926;7;8,3;19,1;15,2;99,5;22,5;19,3;54,5;0,04;0,04;;;;;;;;;;0,056;0,014;0,0057;72;36,4;77,1;331;1,04;4,52;;
