DATE;ID;rr;rr_i;rr_iii
1994-01-01 00:00:00+00:00;81;0.2;0.1;0.2
1994-01-02 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-01-03 00:00:00+00:00;81;0.6;-1.0;-1.0
1994-01-04 00:00:00+00:00;81;5.5;0.3;-1.0
1994-01-05 00:00:00+00:00;81;-1.0;0.9;-1.0
1994-01-06 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-01-07 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-01-08 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-01-09 00:00:00+00:00;81;11.5;-1.0;1.3
1994-01-10 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-01-11 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-01-12 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-02-01 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-02-02 00:00:00+00:00;81;2.2;-1.0;0.0
1994-02-03 00:00:00+00:00;81;-1.0;0.6;-1.0
1994-02-04 00:00:00+00:00;81;-1.0;5.5;-1.0
1994-02-05 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-02-06 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-02-07 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-02-08 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-02-09 00:00:00+00:00;81;1.8;10.2;-1.0
1994-02-10 00:00:00+00:00;81;0.1;-1.0;-1.0
1994-02-11 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-02-12 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-03-01 00:00:00+00:00;81;0.1;-1.0;-1.0
1994-03-02 00:00:00+00:00;81;0.1;2.2;0.1
1994-03-03 00:00:00+00:00;81;4.3;-1.0;-1.0
1994-03-04 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-03-05 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-03-06 00:00:00+00:00;81;15.4;-1.0;-1.0
1994-03-07 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-03-08 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-03-09 00:00:00+00:00;81;0.2;1.8;0.2
1994-03-10 00:00:00+00:00;81;2.2;0.1;0.9
1994-03-11 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-03-12 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-04-01 00:00:00+00:00;81;1.3;0.1;0.5
1994-04-02 00:00:00+00:00;81;0.0;0.0;-1.0
1994-04-03 00:00:00+00:00;81;0.1;4.3;0.1
1994-04-04 00:00:00+00:00;81;1.3;-1.0;-1.0
1994-04-05 00:00:00+00:00;81;0.4;-1.0;-1.0
1994-04-06 00:00:00+00:00;81;0.3;15.4;-1.0
1994-04-07 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-04-08 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-04-09 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-04-10 00:00:00+00:00;81;-1.0;1.3;-1.0
1994-04-11 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-04-12 00:00:00+00:00;81;1.6;-1.0;0.7
1994-05-01 00:00:00+00:00;81;-1.0;0.8;-1.0
1994-05-02 00:00:00+00:00;81;0.0;0.0;0.0
1994-05-03 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-05-04 00:00:00+00:00;81;-1.0;1.3;-1.0
1994-05-05 00:00:00+00:00;81;-1.0;0.4;-1.0
1994-05-06 00:00:00+00:00;81;7.2;0.3;6.7
1994-05-07 00:00:00+00:00;81;1.1;-1.0;1.1
1994-05-08 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-05-09 00:00:00+00:00;81;0.5;-1.0;-1.0
1994-05-10 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-05-11 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-05-12 00:00:00+00:00;81;4.4;0.9;4.4
1994-06-01 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-06-02 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-06-03 00:00:00+00:00;81;0.2;-1.0;0.2
1994-06-04 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-06-05 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-06-06 00:00:00+00:00;81;-1.0;0.5;-1.0
1994-06-07 00:00:00+00:00;81;1.9;-1.0;-1.0
1994-06-08 00:00:00+00:00;81;0.7;-1.0;0.7
1994-06-09 00:00:00+00:00;81;1.8;0.5;-1.0
1994-06-10 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-06-11 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-06-12 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-07-01 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-07-02 00:00:00+00:00;81;0.2;-1.0;0.2
1994-07-03 00:00:00+00:00;81;0.5;-1.0;0.5
1994-07-04 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-07-05 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-07-06 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-07-07 00:00:00+00:00;81;0.7;1.9;0.7
1994-07-08 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-07-09 00:00:00+00:00;81;1.1;1.8;1.1
1994-07-10 00:00:00+00:00;81;14.6;-1.0;13.0
1994-07-11 00:00:00+00:00;81;0.4;-1.0;-1.0
1994-07-12 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-08-01 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-08-02 00:00:00+00:00;81;0.7;-1.0;0.5
1994-08-03 00:00:00+00:00;81;0.3;-1.0;0.3
1994-08-04 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-08-05 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-08-06 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-08-07 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-08-08 00:00:00+00:00;81;0.5;-1.0;-1.0
1994-08-09 00:00:00+00:00;81;1.2;-1.0;-1.0
1994-08-10 00:00:00+00:00;81;-1.0;1.6;-1.0
1994-08-11 00:00:00+00:00;81;0.2;0.4;0.2
1994-08-12 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-09-01 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-09-02 00:00:00+00:00;81;-1.0;0.2;-1.0
1994-09-03 00:00:00+00:00;81;0.1;-1.0;-1.0
1994-09-04 00:00:00+00:00;81;6.2;-1.0;-1.0
1994-09-05 00:00:00+00:00;81;0.2;-1.0;-1.0
1994-09-06 00:00:00+00:00;81;0.3;-1.0;0.3
1994-09-07 00:00:00+00:00;81;0.4;-1.0;-1.0
1994-09-08 00:00:00+00:00;81;-1.0;0.5;-1.0
1994-09-09 00:00:00+00:00;81;-1.0;1.2;-1.0
1994-09-10 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-09-11 00:00:00+00:00;81;0.5;-1.0;-1.0
1994-09-12 00:00:00+00:00;81;1.2;-1.0;1.2
1994-10-01 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-10-02 00:00:00+00:00;81;1.8;-1.0;0.0
1994-10-03 00:00:00+00:00;81;0.4;0.1;0.4
1994-10-04 00:00:00+00:00;81;8.4;6.2;0.2
1994-10-05 00:00:00+00:00;81;3.5;0.2;3.4
1994-10-06 00:00:00+00:00;81;0.1;-1.0;0.1
1994-10-07 00:00:00+00:00;81;1.1;0.4;1.1
1994-10-08 00:00:00+00:00;81;4.4;-1.0;-1.0
1994-10-09 00:00:00+00:00;81;2.2;-1.0;-1.0
1994-10-10 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-10-11 00:00:00+00:00;81;1.4;0.5;1.2
1994-10-12 00:00:00+00:00;81;4.0;-1.0;-1.0
1994-11-01 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-11-02 00:00:00+00:00;81;0.2;1.8;-1.0
1994-11-03 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-11-04 00:00:00+00:00;81;22.7;8.2;13.0
1994-11-05 00:00:00+00:00;81;-1.0;0.1;-1.0
1994-11-06 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-11-07 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-11-08 00:00:00+00:00;81;0.3;4.4;0.3
1994-11-09 00:00:00+00:00;81;0.1;2.2;0.1
1994-11-10 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-11-11 00:00:00+00:00;81;3.2;0.2;3.2
1994-11-12 00:00:00+00:00;81;0.1;4.0;0.1
1994-12-01 00:00:00+00:00;81;0.1;-1.0;-1.0
1994-12-02 00:00:00+00:00;81;0.7;0.2;0.4
1994-12-03 00:00:00+00:00;81;2.9;-1.0;-1.0
1994-12-04 00:00:00+00:00;81;8.9;9.7;8.9
1994-12-05 00:00:00+00:00;81;1.8;-1.0;1.8
1994-12-06 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-12-07 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-12-08 00:00:00+00:00;81;-1.0;-1.0;-1.0
1994-12-09 00:00:00+00:00;81;-1.0;-1.0;-1.0
